age;total;male;female
1;99,417;99,367;99,469
5;99,321;99,262;99,384
10;99,264;99,197;99,335
15;99,195;99,114;99,28
20;98,971;98,803;99,147
25;98,557;98,204;98,929
30;98,067;97,518;98,641
35;97,493;96,751;98,266
40;96,777;95,854;97,734
45;95,804;94,68;96,961
50;94,328;92,904;95,788
55;92,04;90,134;93,982
60;88,729;86,071;91,413
65;84,245;80,592;87,907
70;75,28;73,627;82,936
75;69,79;64,066;75,495
80;58,046;51,407;64,616
85;42,47;35,518;49,225
90;24,642;18,649;30,228
95;9,656;6,214;12,697
100;2,111;1,077;2,2974
