state;percentage of poverty
Alabama;16,1
Alaska;10,9
Arizona;18,8
Arkansas;18,7
California;15,9
Colorado;11,9
Connecticut;10,6
Delaware;13,7
District of Columbia;19,9
Florida;15,0
Georgia;17,6
Hawaii;12,3
Idaho;14,4
Illinois;13,4
Indiana;14,1
Iowa;10,5
Kansas;13,8
Kentucky;18,0
Louisiana;20,5
Maine;12,8
Maryland;9,8
Massachusetts;11,3
Michigan;14,4
Minnesota;10,7
Mississippi;20,6
Missouri;14,8
Montana;14,8
Nebraska;11,2
Nevada;16,2
New Hampshire;8,3
New Jersey;10,6
New Mexico;21,4
New York;15,9
North Carolina;17,0
North Dakota;10,4
Ohio;14,7
Oklahoma;15,3
Oregon;14,3
Pennsylvania;13,0
Rhode Island;13,5
South Carolina;17,2
South Dakota;12,5
Tennessee;17,7
Texas;17,1
Utah;10,1
Vermont;10,5
Virginia;10,8
Washington;12,0
West Virginia;17,2
Wisconsin;11,8
Wyoming;10,7
