state;region
Connecticut;northeast
Maine;northeast
Massachusetts;northeast
New Hampshire;northeast
New Jersey;northeast
New York;northeast
Pennsylvania;northeast
Rhode Island;northeast
Vermont;northeast
Alabama;southeast
Arkansas;southeast
Delaware;southeast
Florida;southeast
Georgia;southeast
Kentucky;southeast
Louisiana;southeast
Maryland;southeast
Mississippi;southeast
North Carolina;southeast
South Carolina;southeast
Tennessee;southeast
Virginia;southeast
West Virginia;southeast
District of Columbia;southeast
Idaho;northwest
Iowa;northwest
Minnesota;northwest
Montana;northwest
Nebraska;northwest
North Dakota;northwest
Oregon;northwest
South Dakota;northwest
Washington;northwest
Wisconsin;northwest
Wyoming;northwest
Alaska;northwest
Arizona;southwest
California;southwest
Colorado;southwest
Hawaii;southwest
Kansas;southwest
Missouri;southwest
Nevada;southwest
New Mexico;southwest
Oklahoma;southwest
Texas;southwest
Utah;southwest
Illinois;southwest
Indiana;southwest
Michigan;southwest
Ohio;southwest
